Gender,BMCT_tot,MI_avg_amax,MK_avg_amax,ME_avg_amax,mech_int_avg,mech_exp_avg,Mech_SE_avg,Masculinity_avg,Femininity_avg,Gender_Role,ST_Endorse_avg,female_STend_avg,male_STend_avg
0,33,3.75,3,3,3.4,2.888888889,3.625,4.95,5.3,-0.35,2.2,2.2,2.2
0,37,2.25,2.8,2.2,2.6,2.444444444,3.25,4,4.9,-0.9,2.8,3.4,2.2
0,39,3.25,2.2,2.2,2.8,2.111111111,2.625,4.894736842,5.55,-0.655263158,2.8,3.4,2.2
0,32,2.5,2.8,2.2,2.8,2.333333333,1.625,4.45,4.4,0.05,1.6,1.8,1.4
0,37,2,2.4,2,2,2.222222222,4.125,5.05,4.55,0.5,2.3,3,1.6
0,44,2.75,3.2,2.4,2.6,2.777777778,4.125,5.9,5.55,0.35,3.5,3.6,3.4
0,33,2.75,3,2.6,2.8,2.666666667,4.25,5.9,3.45,2.45,1.9,2.2,1.6
0,51,2.75,2.2,2.2,2.8,2,4.125,5.15,5.05,0.1,2,2.2,1.8
0,41,3.25,2.8,2.6,2.8,2.777777778,4,4.8,5.55,-0.75,3.5,4,3
0,44,2.25,2.2,2.2,2.4,2.111111111,2.875,3.95,4.8,-0.85,3.4,3.4,3.4
0,41,2,2.4,2.4,2,2.444444444,4.25,4.8,5.1,-0.3,2.2,2.4,2
0,46,4.75,4.4,5,4.2,4.777777778,4.5,6.05,5.1,0.95,3.4,3.4,3.4
1,51,3,2,2.2,2.8,2.111111111,3,4.105263158,4.3,-0.194736842,2.7,2.8,2.6
1,37,4,3.4,4,3.8,3.666666667,4.125,4.6,4.15,0.45,3.5,3.4,3.6
1,41,3,3,3,3,3,4,5.55,4.3,1.25,2,2,2
1,45,3.5,3.6,4.2,3.2,3.888888889,4.75,4.75,4.85,-0.1,3.1,3.2,3
1,55,4.25,3.4,3.6,4.2,3.444444444,5.375,5.75,4.85,0.9,2.7,2.6,2.8
1,47,3.25,3.8,4.4,3.2,4.111111111,4.625,6.631578947,5.1,1.531578947,2.8,2.6,3
1,57,5,3.6,4.2,4.6,3.888888889,5.25,5.9,4.888888889,1.011111111,3.1,3.4,2.8
1,41,3.25,3.4,3.6,3.4,3.444444444,3.75,5.55,5.1,0.45,2.9,3,2.8
1,43,3.5,3.6,4.2,3.2,4,4.75,6.1,3.6,2.5,3.5,2.6,4.4
1,36,2.25,2.2,2,2.8,2,3.625,4.7,4.25,0.45,3.222222222,2.8,3.75
1,42,2.25,3.2,4.2,2.6,3.666666667,4.75,5.85,5,0.85,3.3,2,4.6
1,40,3,3.6,3,2.8,3.333333333,3.625,3.9,3.9,0,3,3.2,2.8
1,50,4,3.4,4,3.8,3.777777778,4,5.7,3.25,2.45,2.7,2.4,3
1,37,3.75,3.4,3.2,3.4,3.222222222,3.5,5.1,4.9,0.2,3.4,3.2,3.6
1,43,4,2.8,2.6,3.2,2.777777778,3.625,4.75,5.1,-0.35,1.9,2,1.8
1,54,4,3.8,4,3.6,3.888888889,4.125,4.45,4.6,-0.15,1.8,1.8,1.8
1,52,4.5,4,4,4.2,4,4.5,5.5,5.105263158,0.394736842,2.3,2.6,2
1,34,3.75,3.4,4.2,3.6,3.777777778,3.625,4.25,4.1,0.15,2.9,2.6,3.2
1,49,3.75,2.8,3.6,3.6,3.111111111,4.625,5.315789474,5.25,0.065789474,1.8,1.8,1.8
1,59,4,3.6,4.2,3.8,3.888888889,6.125,6.1,4.45,1.65,2.5,2.2,2.8
1,39,2.75,2.2,2.4,2.4,2.444444444,4,6.35,5.368421053,0.981578947,4,4,4
1,44,3,3.4,1.6,3,2.444444444,4.625,4.8,4.6,0.2,3.111111111,3.4,2.75
1,49,3.5,2.6,2.6,3,2.666666667,3.625,4.65,3.65,1,2.5,2.4,2.6
1,56,4.75,2,3.4,4,2.666666667,4.428571429,4.9,5.25,-0.35,1.2,1.4,1
1,47,4,3.2,3.6,3.6,3.333333333,4,5.4,4.55,0.85,3.2,3.2,3.2
1,41,3,2,2.8,2.8,2.444444444,3.125,5.6,4.75,0.85,3.3,3,3.6
1,45,4,3.6,4.4,3.4,4,4.25,5.421052632,4.55,0.871052632,1,1,1
1,42,3.25,2.6,3.4,3.2,2.888888889,3.75,5.894736842,4.65,1.244736842,2.7,3,2.4
1,44,3.5,3.6,4,3.2,3.777777778,3.625,5.7,5.5,0.2,3,2.6,3.4
1,41,3.25,2.8,3,3.2,2.777777778,5.375,5.45,4.55,0.9,2.2,1.6,2.8
1,45,4,3.8,4,3.8,3.888888889,4.375,5.8,4.45,1.35,1,1,1
1,59,4,3.4,4,3.8,3.666666667,5,5.35,4.85,0.5,1,1,1
1,52,4,2.6,2.8,3.8,2.555555556,3,4.85,5.5,-0.65,2.1,2.4,1.8
1,33,3,2.4,2.2,2.8,2.333333333,3.375,4.35,5.25,-0.9,1.6,1.8,1.4
1,49,2,1.8,1.2,2.2,1.333333333,3.5,4.55,4.65,-0.1,2.1,2,2.2
1,47,3,3,2.8,3,2.777777778,4.25,5.1,4,1.1,1.7,1.4,2
1,45,3.25,3.6,3.2,3,3.333333333,3.75,5.15,4.5,0.65,1.6,1.6,1.6
1,35,4,4,4,4,4,5.25,6.25,4.9,1.35,2.7,2.8,2.6
1,48,4,3.8,4.2,4,4,4.875,5.2,5.1,0.1,3.3,3.2,3.4
1,60,4.5,3.2,4.4,4.2,3.777777778,5,5.45,4.25,1.2,2.8,2,3.6
1,33,4,3.8,3.6,3.6,3.666666667,5,6.05,5.15,0.9,3.9,4,3.8
1,46,3.75,2.6,3,3.2,2.888888889,4.125,4.85,3.45,1.4,3.4,3.2,3.6
1,56,4,4,4.2,3.6,4.111111111,4.75,4.65,4.8,-0.15,3.2,3.2,3.2
1,39,4,3.6,3.6,3.8,3.555555556,4.25,5.263157895,4.789473684,0.473684211,2.8,3,2.6
1,52,2.5,2.2,1.2,2.6,1.555555556,4.5,4.5,4.7,-0.2,1.9,2.2,1.6
1,48,3.5,2.4,3.4,3.2,2.888888889,4.125,5.95,4.95,1,2.3,1.6,3
1,47,4.75,2.2,2.2,3.8,2.111111111,4.75,3.5,4.263157895,-0.763157895,3.6,3.6,3.6
1,55,5,4.2,4.4,4.6,4.333333333,5.625,5.3,5.05,0.25,2.7,2.8,2.6
1,55,4,3.6,4.2,3.8,3.888888889,5.75,5.411764706,4.2,1.211764706,2.4,2.2,2.6
1,50,2.5,2.2,2,2.4,2.111111111,3.625,4.1,4.4,-0.3,2.5,2.4,2.6
1,50,5,2.4,2,4.4,2,2.375,4.1,4.8,-0.7,3.2,3.4,3
1,52,4.25,3.8,5,4.2,4.333333333,5.125,5.1,5,0.1,2.3,2.8,1.8
1,48,4,3.8,3.6,3.6,3.666666667,5.125,5.75,4.8,0.95,2.222222222,2.6,1.75
1,42,3.5,3,2.8,3.4,2.777777778,3.5,5.15,5,0.15,3.1,3,3.2
1,44,2.75,2.4,4,2.6,3.333333333,3,4.6,3.8,0.8,2.1,2.2,2
1,46,2.25,2.2,2.8,2,2.555555556,3.75,4.9,4.65,0.25,3.2,3.4,3
1,42,3.5,3.8,4,3.4,3.888888889,4.75,4.25,4.95,-0.7,2.2,2.4,2
1,21,4,3,3.4,4.6,3,3.5,5.8,5.05,0.75,3.1,3,3.2
1,47,4.25,3.2,3.4,3.6,3.222222222,4.75,5.1,4.75,0.35,2.8,3.2,2.4
1,31,3,3.6,2.6,3.2,3,1,4.7,4.4,0.3,3.6,3,4.2
1,47,4,3.8,4.2,3.8,4,6,5.75,4.65,1.1,3,2.6,3.4
1,48,5,3,3.4,4.4,3.111111111,4.375,5.1,4.55,0.55,1.8,1.4,2.2
1,45,2.25,3,3,2.4,3,4,5.15,5.35,-0.2,2.5,2.4,2.6
1,52,5,4.4,5,5,4.666666667,7,6.2,4.75,1.45,3.1,1.4,4.8
1,55,2,1.6,1.6,2,1.555555556,3.5,4.35,4.7,-0.35,2.9,3,2.8
1,51,3.5,2.4,2.8,3.2,2.444444444,4,4.55,4.95,-0.4,2.9,3.4,2.4
1,42,3.75,4,4,3.4,4,4.875,6.1,4.4,1.7,3.555555556,3.6,3.5
1,51,4.25,3.4,3.8,3.8,3.555555556,4,4.85,5.3,-0.45,2.3,3,1.6
1,48,3.25,3,3,3.2,2.888888889,4.625,5.45,4.4,1.05,3.1,3,3.2
1,46,4,3.6,4,4,3.777777778,5.5,6.45,5.3,1.15,3,2.8,3.2
1,48,3.75,3.4,3.4,3.6,3.333333333,4.5,5.05,5.1,-0.05,2.1,2.2,2
1,50,4.25,3,3.6,3.8,3.333333333,3.875,4.6,4.1,0.5,1.1,1.2,1
1,60,3.25,3.4,3.2,3.2,3.333333333,5,4.4,4.8,-0.4,2.3,2.2,2.4
1,43,3.75,4,4.6,3.4,4.333333333,5.375,5.5,5.15,0.35,1.8,2.2,1.4
1,33,2.5,2.6,2,2.4,2.333333333,3.375,4.2,5,-0.8,3.4,3.8,3
1,59,4.25,3.2,3,4.2,2.888888889,5.25,5.2,4.7,0.5,2.6,2.4,2.8
1,44,4,3.2,3.2,3.6,3.111111111,5.25,5.25,5.5,-0.25,3.2,4.6,1.8
1,41,2.5,2.2,3.2,2.6,2.666666667,3.5,5.75,5.55,0.2,2.6,2.4,2.8
1,34,4,3.2,4.4,3.6,3.777777778,5.125,5.45,5.7,-0.25,1.2,1.4,1
1,55,3.5,2.6,3,3.4,2.666666667,5,5.25,5.05,0.2,3.4,2.8,4
1,53,3.5,2.6,3.2,3.2,2.888888889,6.125,4.75,4.45,0.3,2,1.8,2.2
1,41,3,2.2,3.2,3,2.555555556,3.25,3.75,4.1,-0.35,1,1,1
1,44,2.75,3.2,3.4,3,3.222222222,4.125,5,4.8,0.2,2,1.6,2.4
1,35,4,4,4,3.6,4,5,5.5,4.85,0.65,3.2,3.6,2.8
1,38,3.5,3.4,3.6,3.6,3.444444444,4.375,5,4.65,0.35,3.5,3.2,3.8
1,52,2.25,2,1,2.6,1.222222222,3,3.9,6,-2.1,2.5,2.8,2.2
